,Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,column10
366,Pitstop,2015.0,Bangalore,Car Service,"Pitstop owns and operates a network of garages that provides car repair, detailing",Mihir Mohan Mishra,"Clairvest Group, Ontario Centres of Excellence",1020000.0,,
367,Zomato,2008.0,Haryana,Food devlivery,Get online food delivery from restaurants near you,"Deepinder Goyal, Pankaj Chaddah","MacRitchie Investments, Baillie Gifford",100000000.0,,
368,Customfit ai,2019.0,Bangalore,SaaS startup,Operates on a SaaS model by providing a hyper-personalised website to users.,"Ashwin Kumar, Shoaib Mohammed",,,,
369,Nirmata,2013.0,San Franciscao,Tech,Nirmata offers a complete solution for Kubernetes management and deployment for cloud-based apps,"Damien Toledo, Jim Bugwadia, Ritesh Patel","Damien Toledo, Jim Bugwadia, Ritesh Patel",,,
370,Hire Me Car,2015.0,Noida,TravelTech,HireMeCar.com offers customers the fastest and easiest way to plan road travel.,Anmol Singh Jaggi,US based NRI Investors,,Seed,
371,Oga Fit,2017.0,Bangalore,Fitness startup,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,Ashish Rawat,"Inflection Point Ventures, Mitesh Shah",,Pre-series A,
372,ShipsKart,2018.0,New Delhi,E-commerce,"ShipsKart platform that streamlines the way marine stores are ordered, approved and received on board with the help of technology.","Dhruv Sawhney, Vivek Sahi, Sunny Bagla",Betatron,200000.0,Pre-series A,
373,SquadStack,2014.0,San Francisco,Tech company,"Empowering consumer businesses to improve their sales conversions and funnel efficiency, using Artificial Intelligence & Data Science.","Apurv Agrawal, Kanika Jain, Rishabh Ladha, Vikas Gulati","Chiratae Ventures, Blume Ventures",5000000.0,Series A,
374,Financepeer,2017.0,Mumbai,EdTech,Financepeer is an AI based peer to peer lending platform.,"Debi Prasad Baral, Naveesh Reddy, Rohit Gajbhiye, Sunit Gajbhiye","Ravi Sanghvi, PitchRight Venture",3000000.0,Pre-series A,
375,Cashify,2009.0,Gurugram,E-commerce,Cashify.in is an e-commerce platform for reselling used electronic gadgets.,"Amit Sethi, Mandeep Manocha, Nakul Kumar","Bessemer Venture Partners, CDH Investments",10000000.0,Debt,
376,Etrio,2017.0,Hyderabad,EV startup,"Etrio is an electric vehicle company in India with tata ace electric, Electric Tata ace HT",Deepak MV,HNIs,3000000.0,Series A,
377,Codeyoung,2019.0,Bangalore,EdTech,Codeyoung provides live online coding classes for kids between the age of 5 - 17.,"Shailendra Dhakad, Rupika Taneja",Guild Capital,,Seed,
378,StayQrious,2020.0,Bangalore,EdTech,"Live online coding courses with social learning. Build coding skills, confident communication and leadership skills with your very own coach.","Aanand Srinivas, Avinash Anand, Shankar Ram A",Y Combinator,2000000.0,Seed,
379,Sunstone Eduversity,2014.0,Gurugram,EdTech,India's Only Business School That Offers MBA & PGDM Programs With 100% Placement Assurance.,"Ashish Munjal, Piyush Nangru",Prime Venture Partners,3000000.0,Series A,
380,Infilect,2015.0,Bangalore,SaaS startup,Infilect Technologies specialises in visual content intelligence by parsing large-scale visual content such as photos and videos,"Anand Prabhu Subramanian, Vijay Gabale","Mela Ventures, 1Crowd",1500000.0,Pre-series A,
381,MobiGarage,2017.0,New Delhi,E-commerce,An ecommerce platform for refurbished electronics.,"Vaibhav Kapoor, Pulkit Kapoor",,,Pre-series A,
382,Samunnati,2014.0,Chennai,Agriculture,Samunnati is a financial service provider focused on agri value chains.,Anil Kumar,"responsAbility, Accel",20000000.0,Debt,
383,WeInnovate Biosolutions,2016.0,Pune,Startup laboratory,Startup working dedicatedly in the area of healthcare-therapeutic solutions.,"Dr Milind Choudhari, Dr Prasad Bhagat, and Dr Anupama",Chiratae ventures,,Seed,
384,Yummy Corp,2017.0,"Tangerang, Jawa Barat, Indonesia",Food Industry,"Yummy Corp is a food & beverages company that provides delicious, fresh, and creative food solutions for everyday corporate and group needs.",Mario Suntanu,"Palm Drive Capital, Amatil X Ventures",12000000.0,Series B,
385,Smallcase,2015.0,Bangalore,FinTech,Smallcases are portfolios of stocks or ETFs created by India's top financial experts.,"Anugrah Shrivastava, Rohan Gupta, Vasanth Kamath","Sequoia Capital India, Blume Ventures",13400000.0,Series B,
386,Clairvolex,2006.0,California,Tech Startup,Clairvolex is an IP solutions company that manages IP assets of large corporations using an IPAM model.,Manoj Pillai,"JF Mauritius SPV, IndusAge Partners",2000000.0,Debt,
387,Assiduus,,Bangalore,E-commerce,"Assiduus leverages its eCommerce experience to help build, grow and scale your brand on various eCommerce platforms",Somdutta Singh,VC Firm K Partners,1000000.0,Series A,
388,Brinton,2014.0,California,HealthTech,Brinton is one of the fastest growing Pharmaceutical Companies spreading its network worldwide.,Rahul Darda,"India Alternatives Private Equity Fund, Tata Capital",1300000.0,Debt,
389,AFK Gaming,2012.0,Mumbai,Entertainment,AFK Gaming is a media and entertainment and gaming company located in Mumbai.,Nishant Patel,,200000.0,Pre-series A,
390,Infarm,2013.0,Berlin,AgriTech,Infarm builds and distributes highly efficient vertical farms throughout cities to grow fresh produce right in your neighbourhood.,"Erez Galonska, Guy Galonska, Osnat Michaeli","Bonnier Ventures, Hanaco Venture Capital",170000000.0,Series C,
391,Zuper,2016.0,Seattle,SaaS startup,Zuper is a productivity suite for service businesses to mobile field workforce and automate all business operations.,Vijay Narasiman,"Gemba Capital, Gunderson Dettmer",1100000.0,Seed,
392,mCaffeine,2015.0,Mumbai,Personal care startup,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.","Tarun Sharma, Vikas Lachhwani","RPSG Ventures, Amicus Capital",2900000.0,Series B,
393,Origa,2013.0,Andheri,FinTech,The charioteer of your growth at all times.,Shrirang Tambe,"500 Startups, ah! Ventures",2000000.0,Debt,
394,GullyBuy Software,2019.0,Pune,Tech Startup,To deliver a solution that will provide shopping convenience to every consumer in India,Shirish Deodhar,,543000.0,Pre-series A,
395,Recordent,2019.0,Hyderabad,FinTech,A technology-enabled platform that helps MSMEs to increase their business efficiency through collection of dues,Harish Mamtani,,,Seed,
396,MPL,2018.0,Bangalore,Entertainment,Mobile Premier League is the mobile e-Sports platform based in India.,"Shubham Malhotra, Sai Srinivas","Base Partners, GO Ventures",90000000.0,Series C,
397,Penny,2020.0,Riyadh,SaaS startup,Offer various development solutions and mainly focus on helping startups,"Iyad Aldalooj, Majid Aldalooj, Mohammed Ibrahim",,1300000.0,Seed,
398,Onsitego,2010.0,Mumbai,Customer service company,Onsitego is a customer service company for device and appliance repairs.,Kunal Mahipal,"Accel, Zodius Capital",30000000.0,Series B,
399,Precily,2017.0,California,SaaS  startup,Precily is Artificial Intelligence platform for enterprises that increases efficiency of workforce by providing AI based solutions.,Bharath Rao,"Windrose Capital, Anil Advani",,Seed,
400,SmartClean,2017.0,Singapore,Tech Startup,SmartClean Technologies is an AI company that offers data-driven cleaning operations designed for facilities.,"Abhishek Mishra, Kush Agarwal, Lav Agarwal, Stella Hu","Seeds Capital, AIM Smart City",3400000.0,Pre- series A,
401,ClanConnect,,Delhi,Marketing startup,"AI-driven influencer marketing platform ClanConnect.ai, which helps brands make their campaigns more data and result-oriented","Kunal Kishore Sinha, Sagar Pushp",,600000.0,Seed,
402,Servify,2015.0,Mumbai,Service industry,Servify is a self-learning platform that provides device management services and warranty solutions.,Sreevathsa Prabhakar,"Blume Ventures, Tetrao",23000000.0,Series C,
403,ShareChat,2015.0,Bangalore,Social media,ShareChat is a social networking and regional content platform.,"Ankush Sachdeva, Bhanu Pratap Singh, Bhanu Singh, Farid Ahsan","Lightspeed venture partners, saif partners",40000000.0,Pre-series C,
404,Rephrase.ai,2018.0,Bangalore,AI,Rephrase.ai helps in creating high-quality videos and animations through an AI-powered visual dubbing tool.,"Ashray Malhotra, Nisheeth Lahoti, Shivam Mangla","Techstars Bangalore Accelerator, Techstars",1500000.0,Seed,
405,Melorra,2015.0,Bangalore,Jewellery,"Buy Latest Gold, Diamond & Gemstone Jewellery Designs Online Rings, Earrings, Necklace","Saroja Yeramilli, R Krishnakumar","Shadows Holdings, Lightbox",8090000.0,Debt,
406,FabHotels,2014.0,Gurugram,Hospitality,FabHotels is a network of 3 star budget hotels in India,"Adarsh Manpuria, Vaibhav Aggarwal","RB Investments Pte. Ltd, Goldman Sachs",1030000.0,Series B,
407,EkAnek,2018.0,New Delhi,Tech Startup,EkAnek Networks is a new startup that is focused on building the ecosystem for new age brands in lifestyle categories,"Chandranshu Sinha, Kartik Sheth","Lightspeed India Partners, Sequoia Capital India",5040000.0,Edge,
408,Cub McPaws,2018.0,Mumbai,AR startup,Cub McPaws is a kids clothing brand.,"Shah, Abhay Bhat",Venture Catalysts,800000.0,Pre-series A,
409,Zimyo,2018.0,Gurgaon,HR Tech startup,Employee experience platform that empowers organizations to manage and retain great talent!,"Ajay Kadyan, Kumar Mayank","Abhishant Pant, Chiranth Patil",1500000.0,Seed,
410,PumPumPum,2018.0,Gurgaon,Automotive Startup,Pumpumpum is a car rental company,"Tarun Lawadia, Sameer Kalra",,360000.0,Debt,
411,Burgerama,2018.0,Gurgaon,Food Startup,Burgerama is a unit of Junket Foods Private Limited,Kabir Bose,"Madison, Anicut",,Pre-series A,
412,Moms Co,2016.0,Gurgaon,HealthCare,The Moms Co. creates a safe and natural formulated products for babies that are certified toxin-free,"Malika Datt Sadani, Mohit Sadaani","DSG Consumer Partners, Saama Capital",8000000.0,Series B,
413,DillyHub,2018.0,Seoul,Publication,A service that promotes and facilitates the works of independent comic artists,Ji Cheol Ryu,"Kakao Ventures, Shinhan Capital",1400000.0,Seed,
414,FPL Technologies,2019.0,Pune,FinTech,FPL is on a mission to re-imagine credit and payments from first principles and is building a mobile-first credit card,"Anurag Sinha, Rupesh Kumar, Vibhav Hathi","Matrix Partners India, Hummingbird Ventures",10000000.0,Series A,
415,FITTR,2016.0,Pune,Fitness startup,Fitness Social Network & Consultation Platform that helps you achieve your Health & Fitness goals.,"Jitendra Chouksey, Sonal Singh, Jyoti Dabas, Bala Krishna Reddy, Rohit Chattopadhyay.",Surge,2000000.0,Pre-series A,
416,Illumnus,2018.0,Pune,EdTech Startup,"An innovative EdTech startup from IITB & BITS alumni, offering B2B SaaS-based collaborative LMS for Schools and Universities","Akash Deep Singhal, Akshaya Singhal, Devashish Saxena, Gauri Dehnkar",23 High Networth Individuals (HNIs).,100000.0,Seed,
417,CashKaro,2012.0,Gurgaon,E-commerce,Cashkaro is a coupons and cashback site rewarding customers for visiting online retailers through their site.,"Rohan Bhargava, Swati Bhargava","Ratan Tata, Kalaari Capital",10000000.0,Series B,
418,Newton School,2019.0,Bangalore,EdTech Startup,Newton School is a platform to learn and develop skills,"Nishant Chandra, Siddharth Maheshwari",Nexus Venture Partners,650000.0,Seed,
419,Airmeet,2019.0,Bangalore,Tech Startup,"Airmeet is an all-in-one events platform for virtual summits, meetups, and workshops that includes virtual social lounge","Lalit Mangal, Manoj Singh, Vinay Kumar Jasti","Global Founders Capital, Redpoint",12000000.0,Series A,
420,Observe ai,2017.0,San Francisco,Tech,"Observe.AI develops a voice AI platform for contact centers, turning agents into top performers.","Akash Singh, Sharath Keshava Narayana, Swapnil Jain","01 Advisors, Steadview Capital",54000000.0,Series B,
421,InCred,2016.0,Mumbai,Finance,"Provide loans for all your needs like personal loan for wedding, education loan, business loan",Bhupinder Singh,"Pushpak Credit, Fiscal",5000000.0,Debt,
422,Toppr,2013.0,Mumbai,EdTech,Toppr is an Indian educational technology and online tutoring firm,"Zishaan Hayath, Hemanth Goteti","Kaizenvest, Foundation Holdings",35000000.0,Series D,
423,CarTrade,2009.0,Mumbai,Car Trade,Buy and Sell Used Cars,Vinay Sanghi,"Pincus, JP Morgan, Temasek, March Capital",42500000.0,Series H,
424,LEAD School,2012.0,Mumbai,EdtTech,Offers a high-end digital classroom system focused on enhancing the learning experience,"Sumeet Mehta, Smita Deorah","Westbridge Capital, Elevar Equity",28000000.0,Series C,
425,Servify,2015.0,Mumbai,Manufacturing,"Enables top OEMs & ODMs in device distribution, sales, warranty",Sreevathsa Prabhakar,"Blume Ventures, Tetrao",11370000.0,Series C,
426,Lido Learning,2019.0,Mumbai,EdTech,"Online classes for Std 4-9 in Math, Science, Coding, English & Leadership with top 1% tutors ?",Sahil Sheth,"BAce Capital, Madhur Deora",7500000.0,Series B,
427,Apna.co,2019.0,Bangalore,Job portal,Can find all types of jobs from entry level to experienced people in over 60+ categories.,Nirmit Parikh,"Lightspeed India, Sequoia Capital India",8000000.0,Series A,
428,Quintype Technologies,2014.0,Bangalore,Tech,"Building a suite of digital publishing solutions to simplify content creation, distribution",Amit Rathore,"IIFL Asset Management, Raghav Bahl",325000.0,Series A,
429,Dunzo,2014.0,Bangalore,Tech,Order online and get free delivery from your nearby restaurants,"Kabeer Biswas, Ankur Agarwal, Dalvir Suri, Mukund Jha","Wes Schwalje, Alteria Capital",28000000.0,Series E,
430,Entropik,2016.0,Bangalore,AI Platform,Gain insights into human emotions with AI-powered platform affect lab.,Ranjan Kumar,"IDFC-Parampara Fund, Bharat Innovation Fund",8000000.0,Series A,
431,Livspace,2014.0,Bangalore,Home Design,Interior design marketplace that connects interior designers,"Anuj Srivastava, Ramakant Sharma","Mercer Investments, Nicholas Cator",9000000.0,Series D,
432,Ultraviolette Automotive,2015.0,Bangalore,Automation,Industries Automotive Electric Vehicle Energy Energy Storage,"Narayan Subramaniam, Niraj Rajmohan",TVS Motor Company,410000.0,Series B,
433,WinZO,2016.0,New Delhi,Gaming,WinZO is a mobile e-Sports gaming platform in India. It is available in 10 regional languages of India.,"Paavan Nanda, Saumya Singh Rathore","Makers Fund, Courtside Ventures",18000000.0,Series B,
434,SenseHawk,2016.0,Bangalore,Solar SaaS,SenseHawk is a SaaS platform that helps improve processes and saves cost in the development,"Swarup Mavanoor, Rahul Sankhe","Falcon Edge Capital, SAIF Partners",5000000.0,Series A,
435,Railofy,2019.0,Mumbai,WL & RAC protection,Enables waitlisted passengers to reach their destination at the lowest possible price if their ticket is not,"Rohan Dedhia, Vaibhav Saraf, Hrishabh Sanghvi",Chiratae Ventures.,900000.0,Seed,
436,Eloelo,2020.0,Bangalore,Social commerce,"Social Commerce Venture for Wellness. View company info, jobs, team members, culture, funding and more.","Saurabh Pandey, Akshay Dubey",,450000.0,Seed,
437,Aibono,2014.0,Bangalore,AgriTech,A next dimension food & farming platform that unites two ends of the food chain from growing to consuming,Vivek Rajkumar,"Menterra Venture Advisors, Rianta Capital",2000000.0,Pre-series A,
438,BuildPan,2019.0,Indore,SaaS startup,"Buildpan helps you with continuous build, development and user feedback for iOS and Android development.","Sonal Dandotia, Shantanu S, Virendra Chouhan, Vaibhav Tiwari","Sunil Kumar Singhvi, Yusho Kawata",500000.0,Seed,
439,Homelane,2014.0,Bangalore,Home interior services,Explore 1000's of fully customizable home interior designs.,"Rama Harinath, Srikanth Iyer","Accel Partners, Sequoia Capital, Evolvence India, JSW Ventures",8000000.0,Bridge,
440,MyGlamm,2015.0,Mumbai,Fashion,Buy Makeup kit & Cosmetics Products from international makeup brand,Darpan Sanghvi,Bessemer Venture Partners,1000000.0,Series B,
441,Aviom,2016.0,New Delhi,Finance,A social impact focused housing finance company catering to housing needs of customers in semi urban areas,Kajal Ilmi,"Insitor Partners, C4D Partners",682000.0,Debt,
442,Flinto,2013.0,Chennai,EdTech Startup,Flintobox is an India-based company that produces educational activity boxes for children,"Arunprasad Durairaj, Vijaybabu Gandhi, Shreenidhi Srirangam","Sinai Ventures, Y Combinator",7000000.0,Pre-Series B,
443,WayCool,2015.0,Chennai,Agritech startup,WayCool is a social enterprise positively impacting the lives of India's farmers,"Karthik Jayaraman, Sanjay Dasari","FMO, IndusInd Bank",5060000.0,Series C,
444,YAP,2014.0,Chennai,API platform,Create your own stream of Neo-banking and Deposit products using our bank-grade APIs,"Madhusudanan R, Prabhu R","Jitendra Gupta, Better Capital",4050000.0,Series A,
445,Big Bang Boom Solutions,2018.0,Chennai,Deep Tech,It aims to co-create intellectual property that can reside within the borders of the country.,"Dr. R. Shivaraman, Praveen Dwarakanath","Mumbai Angels, Defence Innovation Organisation",1050000.0,Series A,
446,GUVI,2014.0,Chennai,EdTech Startup,Operates vernacular-language based education tech startup,Arun Prakash,"CBA Capital, Gray Matters Capital",800000.0,Series A,
447,BluSmart,2019.0,Gurugram,Electricity,"BluSmart, an all-electric ride-hailing platform","Anmol Singh Jaggi, Punit K Goyal","Kalpavriksh, JITO Angel Network",7000000.0,Pre-series A,
448,Cell Propulsion,2017.0,Bangalore,Automotive company,Designs and develops electric power drives and autonomous electric mobility solutions,"Nakul Kukar, Paras Kaushal, Supratim Naskar","growX ventures, Sangam Ventures",,Pre-series A,
449,MPL,2018.0,Bangalore,Entertainment,Mobile Premier League (also known as MPL) is the mobile e-Sports platform,"Sai Srinivas Kiran Garimella, Shubham Malhotra","Sequoia Capital India, Times Internet",50000000.0,Series B,
450,Spoonshot,2015.0,Bangalore,FMCG,A food science company using AI to predict consumer taste and food trends,"Kishan Vasani, Sai Sreenivas Kodur","SRI Capital, Techstars Farm to Fork Accelerator",1000000.0,Seed A,
451,Pulse,2015.0,Mumbai,FinTech,Helps people navigate through and profit off financial markets,"Amit Dhakad, Hiral Jain",,750000.0,Pre-series A,
452,Groww,2016.0,Bangalore,FinTech,Leading Investment and Trading Platform,"Lalit Keshre, Harsh Jain, Neeraj Singh, Ishan Bansal","Y Combinator, Ribbit Capital",30000000.0,Series C,
453,i3 Systems,2016.0,Mumbai,Insurance Tech,Transforming India's health insurance industry with its digital solutions and AI products for automation,"Dr Mallesh Bommanahal, Varzavand Batliwala","Hatanaka Yosuke, Minomiya Takeo",1050000.0,Pre-series A,
454,SOAL,2017.0,Mumbai,EdTech,"A skill-tank nurturing students into disruptive, tech-empowered creators and future leaders","Pratik Agarwal, Raj Desai, Varsha Bhambhani","Krishnan Menon, Srinivas Kollipara",1000000.0,Series A-1,
455,OckyPocky,2015.0,Gurugram,EdTech,Ockypocky helps kids in learning spoken english,Amit Agrawal,"SucSEED Venture Partners, ah! Ventures",400000.0,Seed,
456,Hippo Video,2016.0,New York,Video personalization,Helps enterprise businesses achieve their marketing and sales goals through seamless video,Karthi Mariappan,"Surge, Kae Capital",4000000.0,Series A,
457,Hasura,2017.0,San Francisco,Software Company,"Builds developer tooling products, including open source tools, backend","Tanmai Gopal, Rajoshi Ghosh","Nexus Venture Partners, Sam Lambert",25000000.0,Series B,
458,Qapita,2019.0,Singapore,FinTech,Qapita provides digital equity management tools for private companies and startups.,"Ravi Ravulaparthi, Lakshman Gupta, Vamsee Mohan","Alto Partners, Mission Holdings",1080000.0,Seed,
459,Sunday,2017.0,Bangkok,FinTech,An end-to-end insurance products and services provider that uses AI to offer personalized packages.,Cindy Kua,"SCB 10X, LINE Ventures",9000000.0,Pre-Series B,
460,Gamezop,2015.0,Gurugram,Gaming,A multi-game platform,"Yashash Agarwal, Gaurav Agarwal","Powerhouse ventures, Tracxn,",4300000.0,Series A,
461,Phool.co,2017.0,Kanpur,Biomaterial startup,They use flowers from temples across India's and create useful products such as rose incense cone,Ankit Agarwal,Kaplan Foundation,1400000.0,Pre-series A,
462,Chiratae Ventures,2018.0,Bangalore,Venture capital,A leading tech venture capital fund focused on enabling entrepreneurs in India.,"Vaishali Kulkarni, Arjun Singh Bajwa",,,Seed Funding,
463,MedLife,2014.0,Bangalore,Health,"An India online platform, which provides pharmacy, diagnostics, and e-consultation in India.","Ananth Narayanan, T-ushar Kumar",Ivy Icon,6800000.0,,
464,IDfy,2011.0,Mumbai,IT,IDfy provides risk and fraud solutions,"Ashok Hariharan, Vineet Jawa","Millenna FVCI III, NB Ventures, Dream Incubator",2110000.0,Series A,
465,True Balance,2014.0,Gurugram,Finance,Earn money by meeting financial needs of your friends and neighbors.,"Charlie, Jay, Martin",Balancehero,,Series C,
466,Bira91,2015.0,New Delhi,Craft Beer,A craft beer brand manufactured by B9 Beverages Pvt. Ltd.,Ankur Jain,Anicut Capital,764000.0,,
467,Max wholesale,2016.0,New Delhi,E-commerce,MaxWholesale is an online distributor that provides authentic FMCG goods,"Samarth Agrawal, Rohit Narang","Al Falaj Commercial Investment Co, Vistra ITCL India",603000.0,,
468,Craftsvilla,2011.0,Mumbai,E-commerce,"Sells ethnic apparel, footwear, fashion accessories, beauty products, handcrafted home accessories","Manoj Gupta, Monica Gupta",Supera Investments,409000.0,,
469,MechMocha,2011.0,Bangalore,Entertainment,India's first vernacular social gaming platform,"Arpita Kapoor, Mohit Rangaraju, Shilp Gupta","Accel India, Blume Ventures, 3F Ventures, Akatsuki Inc",292000.0,Series A,
470,Mindhouse,2019.0,Gurugram,Healthtech,A gym to train your mind offering workouts and programmes,"Pankaj Chaddah, Staff Pooja Khanna","GGV Capital, Sahi Barual",286000.0,,
471,DeepSync,2018.0,Chandigarh,AI startup,"A revolutionary way to record your content, without you really speaking","Ishan Sharma, Rishikesh","Grand Anicut Angel Fund (GAAF), AL Trust, Beeline Impex Private Limited, 9Unicorns, Accelerator Fund",136000.0,,
472,Eruditus,2010.0,Mumbai,Education,Bring world-class business and professional education to a global audience,"Chaitanya Kalipatnapu, Ashwin Damera","Bertelsmann India Investments, Sequoia Capital India",,,
473,Gradeup,2015.0,Noida,Education,"India's largest exam preparation destination,",Shobhit Bhatnagar,"Times Internet, TLabs",546000.0,,
474,Tracxn,2013.0,Bangalore,Investment,Tracxn is the research partner for Venture Capitalist,"Abhishek Goyal, Neha Singh","Saif partners, Accel partners, Sequoia capital",887000.0,Series B,
475,Purple Style Labs,2015.0,Mumbai,Fashion,Shopping experience and foster the growth of Indian brands and designers.,Abhishek Agarwal,"Jitendra Gupta, Astarc Ventures.",43000.0,,
476,ProPhysio,2016.0,Bangalore,Health,The largest provider of physiotherapy and rehabilitation services,Pramod Ravindra,Nestavera Ventures.,40900.0,,
477,Flickstree,2014.0,Mumbai,Tech,World's largest video publisher,"Saurabh Singh, Rahul Jain, Nagender Sangra","MOX, Venture Catalysts",40900.0,,
478,Settl,2015.0,Gurugram,TravelTech,Get affordable AC bus-rides everyday,"Amit Singh, Deepanshu Malviya","Sojitz, SIG Global India Fund",,,
479,Fanspole,2015.0,Thane,Entertainment,India's only social fantasy gaming platform,"Aniket Shinde, Hardik Gondaliya","Mohan Verma, Better Capital",,Pre-Seed,
480,Sarva,2016.0,Mumbai,Healthcare,A wellness ecosystem built on the authentic foundations of Yoga,Sarvesh Shashi,"Shikhar Dhawan, Mantra Capital",,,
481,Univ.ai,2019.0,Bangalore,EdTech,"A distributed, global educational powerhouse that draws on technology","Siddharth Das, Dr Rahul Dave, Dr Pavlos Protopapas",Kiran Mazumdar Shaw.,,,
482,PurohitJi,,Bangalore,Linguistic Spiritual,App for Hindu Puja Products & Services,Nakerikanti Harish,Bhadresh,,,
483,CredoLab,2015.0,Singapore,Tech,AI credit scoring platform,Peter Barcak,"GB Group, Walden International",7000000.0,Series A,
484,Brick&Bolt,2018.0,Bangalore,Construction,"A construction company doing house construction, building construction, commercial construction","Arpit Rajpurohit, Jayesh Rajpurohit","Meghna Agarwal, Navin Dhanuka",2200000.0,Series A,
485,Grinntech,2013.0,Chennai,Battery manufacturer,Leading on all fronts of battery design,"Nikhilesh Mishra, Puneet Jain","V Sumantran, V Lakshmi Narayanan",2000000.0,,
486,6Degree,2014.0,Mumbai,Fashion,India's leading fashion business platform,"Amit Bhardwaj, Nikhil Hegde.","Keiretsu Forum, SucSEED Venture Partners",340000.0,,
487,Exprs,2018.0,,Nano Distribution Network,"Nano Distribution Centres, enabling seamless connectivity of businesses & Consumers.","Srinivas Madhavam, Srikanth Rajashekhar, Rahul Mehta","Sweta Rau, Sandeep Kapoor",5660000.0,,
488,Bikayi,2019.0,Hyderabad,E-commerce,Provides free whatsapp integrated E-Commerce Store,"Sonakshi Nathani, Ashutosh Singla",Mantis ventures,2000000.0,Seed round,
489,Virtual Forest,2019.0,Bangalore,Tech,Tracking seasonal change in virtual forest,Omer Basith,Napino Auto and Electronics Ltd,,,
490,The Health company,2018.0,Gurugram,AI health,Organic superfoods & free personal health coaching that actually work.,"Devansh Jain Nawal, Ackshay Jain","VCATS, First Cheque, 9Unicorns, Marquee investors",350000.0,,
491,TrulyMadly Matchmakers,2014.0,Gurugram,Dating app,One of the best dating Apps in India connecting singles across the country.,Snehil Khanor,"AngelList, Inflection Point Ventures, The Chennai Angels",110000.0,Pre-series A,
492,TrueFan,2020.0,Mumbai,Media,Enables users to play quizzes around celebrities and winners get a personalised video message from stars.,"Nimish Goel, Nevaid Aggarwal, Devender Bindal","Mayfield India, Saama Capital, Ronnie Screwvala",4300000.0,Seed round,
493,Fanspole,2015.0,Mumbai,Gaming,A free app that users can use to create contests and play,"Aniket Shinde, Hardik Gondaliya",Better Capital,,Pre-seed Round,
494,Byju's,2011.0,Bangalore,EdTech,Provides online learning classes,Byju Raveendran,DST Global,122000000.0,,
495,Avail Finance,2017.0,Bangalore,Fintech,Instant online loan app,"Ankush Aggarwal, Tushar Mehndiratta","Alphawave, Matrix Partners",11635000.0,Series B,
496,The Money Club,,Delhi,AI,AI based chit fund cashier app,"Manuraj Jain, Surajit Raj",Venture Catalysts,,,
497,Virohan,2018.0,Gurgaon,Healthcare/Edtech,Healthcare training company,"Kunaal Dudeja, Nalin Saluja, Archit Jayaswal","Keiretsu Forum, Elea Foundation",2800000.0,Seed Round & Series A,
498,OneCode,,Gurugram,Social Commerce,Connects new-age digital first brands with relevant sellers,"Manish Shara, Yash Desai",WaterBridge Ventures,,Seed round,
499,Verloop.io,2015.0,,AI,Helps automate customer service using Artificial Intelligence,Gaurav Singh,Alpha Wave incubation,5000000.0,,
500,Otipy,2020.0,,Agritech/Commerce,Connects consumers with farmers thorugh women resellers,Varun Khanna,Inflection Point Ventures,1000000.0,Pre Series A,
501,Evage,2014.0,Chandigarh,Mobility tech,Develop emissions-free electric commercial vehicles,Inderveer Singh,Anand Shah,,,
502,LEAD School,2012.0,Mumbai,EdTech,Offers an integrated system for schools by helping them digitize the entire curriculum,"Sumeet Yashpal Mehta, Smita Deorah","WestBridge Capital, Elevar Equity",28000000.0,Series C,
503,Trell,2016.0,Bangalore,Social e-commerce,Allows users to share their travel experiences,"Pulkit Agrawal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba, Nirav Sheth","KTB Network, Samsung Ventures, Ankur Nagpal, Gokul Rajaram, Vineet Buch",11000000.0,Series A,
504,Captain Fresh,2019.0,Bangalore,Food & Logistics,Sea food Supply chain,Utham Gowda,Ankur Capital,2300000.0,Pre Series A,
505,Teachmint,,Bangalore,EdTech,Empowers tutors with tools to deliver effective learning outcomes for students and parents,"Mihir Gupta, Payoj Jain, Divyansh Bordia, Anshuman Kumar",Better Capital,,,
506,Pixxel,2019.0,Bangalore,SpaceTech,Indian Earth observation startup,"Kshitij Khandelwal, Awais Ahmed","Lightspeed India Partners, Blume Ventures, GrowX ventures",5000000.0,Seed round,
507,Habbit Health,2019.0,Delhi,Nutrition Tech,Applies modern science for healthier life through proprietary foods & digital ecosystem,Dhruv Bhushan,"3one4 Capital, Angel list India",,Pre seed Round,
508,SmarterBiz,2014.0,Bangalore,Tech,An end-to-end CX platform enabled with the gig workforce,"Rajesh Bernard, Vijay Krishna, Prateek Mehta","StartupXseed Ventures, Bhaskar Pramanik, MJ Aravinf, Ravi Viswanath, Ramesh Radhakrishnan, Ranjan Biswas, MJ Aniketh.",1065000.0,Pre Series A,
509,Able Jobs,2019.0,Bangalore,HR,Provides end to end hiring support to companies,"Ravish Agrawal, Swatantra Kumar, Siddharth Srivastav","SAIF Partners, Y Combinator, Neeraj Arora, Titan Capital, First Cheque.",2000000.0,,
510,Vieroots,2018.0,Kochi,Healthtech,Personalised lifestyle management using epigenetic science,Sanjeev Nair,Suniel Shetty,,,
